"id"	"hs07"	"name"
"01030221"	"030221"	"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus/stenolepis), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030222"	"030222"	"Plaice (Pleuronectes platessa), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030223"	"030223"	"Sole (Solea spp.), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030229"	"030229"	"Flat fish (excl. of 0302.21-0302.23) [see list of conventions for species incld.], fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030231"	"030231"	"Albacore/longfinned tunas (Thunnus alalunga), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030232"	"030232"	"Yellowfin tunas (Thunnus albacares), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030233"	"030233"	"Skipjack/stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030234"	"030234"	"Bigeye tunas (Thunnus obesus), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030235"	"030235"	"Bluefin tunas (Thunnus thynnus), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030236"	"030236"	"Southern bluefin tunas (Thunnus maccoyii), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030239"	"030239"	"Tunas, skipjack & bonito (excl. of 0302.31-0302.36), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030240"	"030240"	"Herrings (Clupea harengus/pallasii), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030250"	"030250"	"Cod (Gadus morhua/ogac/macrocephalus), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030261"	"030261"	"Sardines (Sardina pilchardus, Sardinops spp.)/sardinella (Sardinella spp.)/brisling/sprats (Sprattus sprattus), fresh/chilled (excl. fillets/other fish meat of 03.04/livers/roes)"
"01030262"	"030262"	"Haddock (Melanogrammus aeglefinus), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030263"	"030263"	"Coalfish (Pollachius virens), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030264"	"030264"	"Mackerel (Scomber scombrus/australasicus/japonicus), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030265"	"030265"	"Dogfish & other sharks, fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030266"	"030266"	"Eels (Anguilla spp.), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030267"	"030267"	"Swordfish (Xiphias gladius), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030268"	"030268"	"Toothfish (Dissostichus spp.),fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030269"	"030269"	"Fish,n.e.s. in 03.02, fresh/chilled(excl. fillets/other fish meat of 03.04/livers & roes)."
"01030270"	"030270"	"Fish livers & roes, fresh/chilled"
"010303"	"0303"	"Fish, frozen, excluding fish fillets and other fish meat of heading 03.04."
"01030311"	"030311"	"Sockeye salmon (red salmon) (Oncorhynchus nerka), frozen (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030319"	"030319"	"Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), frozen (excl. of 0303.11; excl. fillets/other fish meat of 03.04/livers & roes)"
"01030321"	"030321"	"Trout (Salmo trutta, Oncorhynchus mykiss/clarki/aguabonita/gilae/apache/chrysogaster), frozen (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030322"	"030322"	"Atlantic salmon (Salmo salar) & Danube salmon (Hucho hucho), frozen (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030329"	"030329"	"Salmonidae (excl. of 0303.21 & 0303.22), frozen (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030331"	"030331"	"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus/stenolepis), frozen (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030332"	"030332"	"Plaice (Pleuronectes platessa), frozen (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030333"	"030333"	"Sole (Solea spp.), frozen (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030339"	"030339"	"Flat fish (excl. of 0303.31-0303.33) [see list of conventions for species incld.], frozen (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030341"	"030341"	"Albacore/longfinned tunas (Thunnus alalunga), frozen (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030342"	"030342"	"Yellowfin tunas (Thunnus albacares), frozen (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030343"	"030343"	"Skipjack/stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), frozen (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030344"	"030344"	"Bigeye tunas (Thunnus obesus), frozen (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030345"	"030345"	"Bluefin tunas (Thunnus thynnus), frozen (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030346"	"030346"	"Southern bluefin tunas (Thunnus maccoyii), frozen (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030349"	"030349"	"Tunas (excl. of 0303.41-0303.46), frozen (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030351"	"030351"	"Herrings (Clupea harengus, Clupea pallasii), frozen (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030352"	"030352"	"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), frozen (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030361"	"030361"	"Swordfish (Xiphias gladius), frozen (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030362"	"030362"	"Toothfish (Dissostichus spp.),frozen (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030371"	"030371"	"Sardines (Sardina pilchardus, Sardinops spp.)/sardinella (Sardinella spp.)/brisling/sprats (Sprattus sprattus), frozen (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030372"	"030372"	"Haddock (Melanogrammus aeglefinus), frozen (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030373"	"030373"	"Coalfish (Pollachius virens), frozen (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030374"	"030374"	"Mackerel (Scomber scombrus/australasicus/japonicus), frozen (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030375"	"030375"	"Dogfish & other sharks, frozen (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030376"	"030376"	"Eels (Anguilla spp.), frozen (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030377"	"030377"	"Sea bass (Dicentrarchus labrax/punctatus), frozen (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030378"	"030378"	"Hake (Merluccius spp., Urophycis spp.), frozen (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030379"	"030379"	"Fish (excl. of 0303.71 - 0303.78),n.e.s., frozen (excl. fillets/other fish meat of 03.04/livers & roes)"
"01030380"	"030380"	"Fish livers & roes, frozen"
"010304"	"0304"	"Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen."
"01030411"	"030411"	"Swordfish (Xiphias gladius),fresh/chilled"
"01030412"	"030412"	"Toothfish (Dissostichus spp.),fresh/chilled"
"01030419"	"030419"	"Fish fillets&other fish meat (excl. of 0304.11-0304.12, whether/not minced), fresh/chilled"
"01030421"	"030421"	"Swordfish (Xiphias gladius),frozen fillets"
"01030422"	"030422"	"Toothfish (Dissostichus spp.), frozen fillets"
"01030429"	"030429"	"Fish fillets&other fish meat (excl. of 0304.21-0304.92, whether/not minced), frozen fillets"
"01030491"	"030491"	"Swordfish (Xiphias gladius),n.e.s."
"01030492"	"030492"	"Toothfish (Dissostichus spp.),n.e.s."
"01030499"	"030499"	"Fish fillets&other fish meat (excl. of 0304.11-0304.29, whether/not minced),n.e.s."
"010305"	"0305"	"Fish, dried, salted or in brine; smoked fish, whether or not cooked before or during the smoking process; flours, meals and pellets of fish, fit for human consumption."
"01030510"	"030510"	"Flours, meals & pellets of fish, fit for human consumption"
"01030520"	"030520"	"Livers & roes of fish, dried/smoked/salted/in brine"
"01030530"	"030530"	"Fish fillets, dried/salted/in brine but not smoked"
"01030541"	"030541"	"Pacific salmon/Atlantic salmon/Danube salmon [see list of conventions for species incld.], smoked, incl. fillets"
"01030542"	"030542"	"Herrings (Clupea harengus/pallasii), smoked, incl. fillets"
"01030549"	"030549"	"Smoked fish (excl. of 0305.41 & 0305.42), incl. fillets"
"01030551"	"030551"	"Cod (Gadus morhua/ogac/macrocephalus), dried, whether/not salted but not smoked"
"01030559"	"030559"	"Dried fish other than cod (Gadus morhua/ogac/macrocephalus), whether/not salted but not smoked"
"01030561"	"030561"	"Herrings (Clupea harengus/pallasii), salted (but not dried/smoked)/in brine"
"01030562"	"030562"	"Cod (Gadus morhua/ogac/macrocephalus), salted (but not dried/smoked)/in brine"
"01030563"	"030563"	"Anchovies (Engraulis spp.), salted (but not dried/smoked)/in brine"
"01030569"	"030569"	"Fish other than herrings (Clupea harengus/pallasii), cod (Gadus morhua/ogac/macrocephalus) & anchovies (Engraulis spp.), salted (but not dried/smoked)/in brine"
"010306"	"0306"	"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; crustaceans, in shell, cooked by steaming or by boiling in water, whether or not chilled, frozen, dried, salted or in brine; flours, meals and pellets of crusta"
"01030611"	"030611"	"Rock lobster & other sea crawfish (Palinurus spp., Panulirus spp., Jasus spp.), whether/not in shell, frozen"
"01030612"	"030612"	"Lobsters (Homarus spp.), whether/not in shell, frozen"
"01030613"	"030613"	"Shrimps & prawns, whether/not in shell, frozen"
"01030614"	"030614"	"Crabs, whether/not in shell, frozen"
"01030619"	"030619"	"Frozen crustaceans (excl. of 0306.11-0306.14); frozen flours/meals/pellets of crustaceans, fit for human consumption"
"01030621"	"030621"	"Rock lobster & other sea crawfish (Palinurus spp., Panulirus spp., Jasus spp.), whether/not in shell, other than frozen"
"01030622"	"030622"	"Lobsters (Homarus spp.), whether/not in shell, other than frozen"
"01030623"	"030623"	"Shrimps & prawns, whether/not in shell, other than frozen"
"01030624"	"030624"	"Crabs, whether/not in shell, other than frozen"
"01030629"	"030629"	"Crustaceans, other than frozen (excl. of 0306.21-0306.24); flours/meals/pellets of crustaceans, fit for human consumption, other than frozen"
"010307"	"0307"	"Molluscs, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; aquatic invertebrates other than crustaceans and molluscs, live, fresh, chilled, frozen, dried, salted or in brine; flours, meals and pellets of aquatic invertebra"
"01030710"	"030710"	"Oysters, whether/not in shell, live/fresh/chilled/frozen/dried/salted/in brine"
"01030721"	"030721"	"Scallops, incl. queen scallops (genera Pecten/Chlamys/Placopecten), live/fresh/chilled"
"01030729"	"030729"	"Scallops, incl. queen scallops (genera Pecten/Chlamys/Placopecten), other than live/fresh/chilled"
"01030731"	"030731"	"Mussels (Mytilus spp., Perna spp.), live/fresh/chilled"
"01030739"	"030739"	"Mussels (Mytilus spp., Perna spp.), other than live/fresh/chilled"
"01030741"	"030741"	"Cuttle fish (Sepia officinalis, Rossia macrosoma, Sepiola spp.) & squid (Ommastrephes spp., Loligo spp., Nototodarus spp., Sepioteuthis spp.), live/fresh/chilled"
"01030749"	"030749"	"Cuttle fish (Sepia officinalis, Rossia macrosoma, Sepiola spp.) & squid (Ommastrephes spp., Loligo spp., Nototodarus spp., Sepioteuthis spp.), other than live/fresh/chilled"
"01030751"	"030751"	"Octopus (Octopus spp.), live/fresh/chilled"
"01030759"	"030759"	"Octopus (Octopus spp.), other than live/fresh/chilled"
"01030760"	"030760"	"Snails (excl. sea snails)"
"01030791"	"030791"	"Molluscs & invertebrates (excl. of 0307.10-0307.60), live/fresh/chilled"
"01030799"	"030799"	"Molluscs & invertebrates (excl. of 0307.10-0307.60), frozen/dried/salted/in brine; incl. flours/meals/pellets of aquatic invertebrates other than crustaceans, fit for human consumption"
"010401"	"0401"	"Milk and cream, not concentrated nor containing added sugar or other sweetening matter."
"01040110"	"040110"	"Milk & cream, not concentrated/sweetened, fat content by weight not >1%"
"01040120"	"040120"	"Milk & cream, not concentrated/sweetened, fat content by weight >1% but not >6%"
"01040130"	"040130"	"Milk & cream, not concentrated/sweetened, fat content by weight >6%"
"010402"	"0402"	"Milk and cream, concentrated or containing added sugar or other sweetening matter."
"01040210"	"040210"	"Milk in powder/granules/other solid form, fat content by weight not >1.5%"
"01040221"	"040221"	"Milk in powder/granules/other solid form, unsweetened, fat content by weight >1.5%"
"01040229"	"040229"	"Milk in powder/granules/other solid form, sweetened, fat content by weight >1.5%"
"01040291"	"040291"	"Milk & cream, concentrated (excl. in powder), unsweetened"
"01040299"	"040299"	"Milk & cream, concentrated (excl. in powder), sweetened"
"010403"	"0403"	"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit, nuts or cocoa."
"01040310"	"040310"	"Yogurt"
"01040390"	"040390"	"Buttermilk/curdled milk & cream/kephir & other fermented/acidified milk & cream, whether/not concentrated/sweetened/flavoured/containing fruit/nuts/cocoa"
"010404"	"0404"	"Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, not elsewhere specified or included."
"01040410"	"040410"	"Whey & modified whey, whether/not concentrated/sweetened"
"01040490"	"040490"	"Milk products of natural milk constituents, whether/not sweetened, n.e.s."
"010405"	"0405"	"Butter and other fats and oils derived from milk; dairy spreads."
"01040510"	"040510"	"Butter"
"01040520"	"040520"	"Dairy spreads"
"01040590"	"040590"	"Fats & oils derived from milk, other than butter & dairy spreads"
"010406"	"0406"	"Cheese and curd."
"01040610"	"040610"	"Fresh (unripened/uncured) cheese, incl. whey cheese, & curd"
"01040620"	"040620"	"Grated/powdered cheese, of all kinds"
"01040630"	"040630"	"Processed cheese, not grated/powdered"
"01040640"	"040640"	"Blue-veined cheese"
"01040690"	"040690"	"Cheese (excl. of 0406.10-0406.40)"
"010407"	"0407"	"Birds' eggs, in shell, fresh, preserved or cooked."
"01040700"	"040700"	"Birds' eggs, in shell, fresh/preserved/cooked"
"010408"	"0408"	"Birds' eggs, not in shell, and egg yolks, fresh, dried, cooked by steaming or by boiling in water, moulded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter."
"01040811"	"040811"	"Egg yolks, dried, whether/not containing added sugar/other sweetening matter"
"01040819"	"040819"	"Egg yolks (excl. dried), whether/not containing added sugar/other sweetening matter"
"01040891"	"040891"	"Birds' eggs, not in shell (excl. yolks), dried, whether/not containing added sugar/other sweetening matter"
"01040899"	"040899"	"Birds' eggs, not in shell (excl. yolks), other than dried, whether/not containing added sugar/other sweetening matter"
"010409"	"0409"	"Natural honey."
"01040900"	"040900"	"Natural honey"
"010410"	"0410"	"Edible products of animal origin, not elsewhere specified or included."
"01041000"	"041000"	"Edible products of animal origin, n.e.s."
"010501"	"0501"	"Human hair, unworked, whether or not washed or scoured; waste of human hair."
"01050100"	"050100"	"Human hair, unworked, whether/not washed/scoured; waste of human hair"
"010502"	"0502"	"Pigs', hogs' or boars' bristles and hair; badger hair and other brush making hair; waste of such bristles or hair."
"01050210"	"050210"	"Pigs'/hogs'/boars' bristles & hair & waste thereof"
"01050290"	"050290"	"Badger hair & other brush making hair; waste of such bristles/hair"
"010504"	"0504"	"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked."
"01050400"	"050400"	"Guts, bladders & stomachs of animals (other than fish), whole & pieces thereof , fresh/chilled/frozen/salted/in brine/dried/smoked"
"010505"	"0505"	"Skins and other parts of birds, with their feathers or down, feathers and parts of feathers (whether or not with trimmed edges) and down, not further worked than cleaned, disinfected or treated for preservation; powder and waste of feathers or parts of fe"
"01050510"	"050510"	"Feathers of a kind used for stuffing; down"
"01050590"	"050590"	"Skins & other parts of birds with feathers/down; feathers & parts of feathers (excl. of 0505.10), not further worked than cleaned, disinfected/treated for preservation; powder & waste of feathers/parts of feathers"
"010506"	"0506"	"Bones and horn-cores, unworked, defatted, simply prepared (but not cut to shape), treated with acid or degelatinised; powder and waste of these products."
"01050610"	"050610"	"Ossein & bones treated with acid"
"01050690"	"050690"	"Bones & horn-cores, unworked, defatted, simply prepared but not cut to shape, treated with acid/degelatinised (excl. of 0506.10); powder & waste of these products"
"010507"	"0507"	"Ivory, tortoise-shell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and beaks, unworked or simply prepared but not cut to shape; powder and waste of these products."
"01050710"	"050710"	"Ivory; ivory powder & waste"
"01050790"	"050790"	"Tortoise-shell, whalebone & whalebone hair, horns, antlers, hooves, nails, claws & beaks, unworked/simply prepared but not cut to shape; powder & waste of these products"
"010508"	"0508"	"Coral and similar materials, unworked or simply prepared but not otherwise worked; shells of molluscs, crustaceans or echinoderms and cuttle-bone, unworked or simply prepared but not cut to shape, powder and waste thereof."
"01050800"	"050800"	"Coral & similar materials, unworked/simply prepared but not othw. worked; shells of molluscs/crustaceans/echinoderms & cuttle-bone, unworked/simply prepared but not cut to shape, powder & waste thereof"
"010510"	"0510"	"Ambergris, castoreum, civet and musk; cantharides; bile, whether or not dried; glands and other animal products used in the preparation of pharmaceutical products, fresh, chilled, frozen or otherwise provisionally preserved."
"01051000"	"051000"	"Ambergris, castoreum, civet & musk; cantharides; bile, whether/not dried; glands & other animal products used in the preparation of pharmaceutical products, fresh/chilled/frozen/othw. provisionally perserved"
"010511"	"0511"	"Animal products not elsewhere specified or included; dead animals of Chapter 1 or 3, unfit for human consumption."
"01051110"	"051110"	"Bovine semen"
"01051191"	"051191"	"Products of fish/crustaceans, molluscs/other aquatic invertebrates; dead animals of Ch.3, unfit for human consumption"
"01051199"	"051199"	"Animal products not elsewhere specified/incld. (excl. of 0511.10); dead animals of Ch. 1, unfit for human consumption"
"020601"	"0601"	"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, in growth or in flower; chicory plants and roots other than roots of heading 12.12."
"02060110"	"060110"	"Bulbs, tubers, tuberous roots, corms, crowns & rhizomes, dormant"
"02060120"	"060120"	"Bulbs, tubers, tuberous roots, corms, crowns & rhizomes, in growth/in flower; chicory plants & roots (excl. of 12.12)"
"020602"	"0602"	"Other live plants (including their roots), cuttings and slips; mushroom spawn."
"02060210"	"060210"	"Unrooted cuttings & slips"
"02060220"	"060220"	"Trees, shrubs & bushes, grafted/not, of kinds which bear edible fruit/nuts, incl. their roots"
"02060230"	"060230"	"Rhododendrons & azaleas, grafted/not. incl. their roots"
"02060240"	"060240"	"Roses, grafted/not, incl. their roots"
"02060290"	"060290"	"Live plants, n.e.s., incl. their roots; mushroom spawn"
"020603"	"0603"	"Cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared."
"02060311"	"060311"	"Fresh roses"
"02060312"	"060312"	"Fresh carnations"
